,Email Address,Section,First Name,Last Name,Hw_1,Hw_1 - Max Points,Hw_2,Hw_2 - Max Points,Hw_3,Hw_3 - Max Points,Hw_4,Hw_4 - Max Points,Hw_5,Hw_5 - Max Points,Hw_6,Hw_6 - Max Points,Hw_7,Hw_7 - Max Points,Hw_8,Hw_8 - Max Points,Hw_9,Hw_9 - Max Points,Hw_10,Hw_10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
rge65208,richard.elliott@univ.edu,1,Richard,Elliott,49.0,80,64,80,76,80,80,100,49,70,65,90,41,50,55,70,37,60,42,60,66,100,64,100,74,100,6,13,17,11,12,0.66,0.64,0.74,0.754054054054054,0.7507103174603175,0.754054054054054,0.855072463768116,0.8395670995670995,0.855072463768116,0.7661433607520565,77.0,C
kxf45205,katelyn.faulkner@univ.edu,1,Katelyn,Faulkner,65.0,80,65,80,55,80,90,100,69,70,65,90,34,50,69,70,44,60,42,60,68,100,60,100,61,100,6,12,17,14,6,0.68,0.6,0.61,0.8081081081081081,0.8019484126984127,0.8081081081081081,0.7971014492753623,0.7690909090909092,0.7971014492753623,0.7478736780258519,75.0,C
txf41578,tommy.foster@univ.edu,1,Tommy,Foster,49.0,80,63,80,51,80,83,100,64,70,86,90,32,50,56,70,51,60,38,60,78,100,88,100,65,100,9,9,7,10,9,0.78,0.88,0.65,0.7743243243243243,0.7660674603174602,0.7743243243243243,0.6376811594202898,0.6588464476699771,0.6588464476699771,0.7318836640307229,74.0,C
jag55224,jessica.garza@univ.edu,1,Jessica,Garza,49.0,80,77,80,71,80,69,100,44,70,74,90,46,50,64,70,46,60,55,60,90,100,79,100,62,100,8,8,16,11,10,0.9,0.79,0.62,0.8040540540540541,0.8120912698412699,0.8120912698412699,0.7681159420289855,0.764166030048383,0.7681159420289855,0.7722712905452036,78.0,C
mjg41514,matthew.gonzalez@univ.edu,1,Matthew,Gonzalez,75.0,80,74,80,76,80,70,100,46,70,62,90,45,50,49,70,58,60,52,60,78,100,73,100,60,100,7,6,16,11,12,0.78,0.73,0.6,0.8202702702702702,0.8291865079365082,0.8291865079365082,0.7536231884057971,0.7526508785332314,0.7536231884057971,0.7597615596963424,76.0,C
cxg21963,cynthia.guzman@univ.edu,1,Cynthia,Guzman,63.0,80,68,80,48,80,67,100,55,70,54,90,38,50,51,70,57,60,47,60,64,100,74,100,66,100,6,15,14,10,7,0.64,0.74,0.66,0.7405405405405405,0.7515119047619047,0.7515119047619047,0.7536231884057971,0.7333206009676598,0.7536231884057971,0.731691718426501,74.0,C
jlh15029,john.harris@univ.edu,1,John,Harris,74.0,80,77,80,53,80,89,100,69,70,87,90,47,50,43,70,39,60,60,60,91,100,90,100,95,100,9,14,12,6,12,0.91,0.9,0.95,0.8621621621621621,0.8596666666666668,0.8621621621621621,0.7681159420289855,0.7771937866055513,0.7771937866055513,0.8560230008465303,86.0,B
cxh80084,colleen.hart@univ.edu,1,Colleen,Hart,48.0,80,70,80,59,80,81,100,46,70,62,90,38,50,52,70,45,60,59,60,68,100,72,100,62,100,6,6,17,9,7,0.68,0.72,0.62,0.7567567567567568,0.7604722222222222,0.7604722222222222,0.6521739130434783,0.6343290043290043,0.6521739130434783,0.6988410628019324,70.0,C
thh29195,taylor.hernandez@univ.edu,1,Taylor,Hernandez,54.0,80,52,80,53,80,67,100,56,70,77,90,33,50,57,70,52,60,46,60,92,100,83,100,98,100,11,12,14,5,9,0.92,0.83,0.98,0.7391891891891892,0.7420674603174603,0.7420674603174603,0.7391304347826086,0.7461344537815127,0.7461344537815127,0.7966673202614378,80.0,B
edh14938,emily.houston@univ.edu,1,Emily,Houston,54.0,80,60,80,56,80,71,100,56,70,71,90,46,50,55,70,52,60,40,60,100,100,78,100,87,100,8,9,17,5,11,1.0,0.78,0.87,0.7581081081081081,0.7662936507936509,0.7662936507936509,0.7246376811594203,0.7202164502164502,0.7246376811594203,0.7824087646652864,79.0,C
bch39598,brett.hunt@univ.edu,1,Brett,Hunt,72.0,80,72,80,57,80,77,100,62,70,78,90,43,50,42,70,43,60,58,60,85,100,72,100,89,100,4,11,16,7,12,0.85,0.72,0.89,0.8162162162162162,0.8178214285714285,0.8178214285714285,0.7246376811594203,0.7076292335115865,0.7246376811594203,0.7925198757763975,80.0,B
dcj14616,daniel.jones@univ.edu,1,Daniel,Jones,61.0,80,49,80,78,80,98,100,56,70,85,90,32,50,42,70,40,60,58,60,79,100,68,100,61,100,8,8,11,7,10,0.79,0.68,0.61,0.8094594594594594,0.7947777777777778,0.8094594594594594,0.6376811594202898,0.6481996434937611,0.6481996434937611,0.7172436768319121,72.0,C
mxj54725,michele.jones@univ.edu,1,Michele,Jones,67.0,80,61,80,65,80,95,100,63,70,89,90,42,50,58,70,43,60,55,60,100,100,82,100,63,100,7,6,12,6,6,1.0,0.82,0.63,0.8621621621621621,0.855329365079365,0.8621621621621621,0.5362318840579711,0.5341634835752482,0.5362318840579711,0.7322344300822562,74.0,C
txj12345,traci.joyce@univ.edu,1,Traci,Joyce,0.0,80,77,80,58,80,91,100,66,70,78,90,30,50,69,70,59,60,53,60,100,100,84,100,64,100,8,6,14,9,4,1.0,0.84,0.64,0.7851351351351351,0.7859404761904762,0.7859404761904762,0.5942028985507246,0.5853985230455819,0.5942028985507246,0.7226370600414079,73.0,C
pmk49230,paige.king@univ.edu,1,Paige,King,61.0,80,61,80,61,80,75,100,63,70,86,90,43,50,64,70,50,60,46,60,97,100,99,100,63,100,8,13,17,14,9,0.97,0.99,0.63,0.8243243243243243,0.826734126984127,0.826734126984127,0.8840579710144928,0.8687878787878788,0.8840579710144928,0.8379110420979987,84.0,B
mxl67812,michelle.lee@univ.edu,1,Michelle,Lee,56.0,80,68,80,57,80,74,100,53,70,89,90,32,50,57,70,48,60,39,60,91,100,76,100,77,100,9,13,16,10,10,0.91,0.76,0.77,0.7743243243243243,0.7652817460317459,0.7743243243243243,0.8405797101449275,0.8347288006111535,0.8405797101449275,0.7989036427732079,80.0,B
msl77920,mark.lopez@univ.edu,1,Mark,Lopez,58.0,80,51,80,55,80,69,100,65,70,81,90,32,50,59,70,45,60,40,60,94,100,87,100,78,100,4,15,15,7,9,0.94,0.87,0.78,0.75,0.7468095238095238,0.75,0.7246376811594203,0.6991978609625669,0.7246376811594203,0.7683913043478261,77.0,C
nxm87406,nicole.mann@univ.edu,1,Nicole,Mann,73.0,80,53,80,80,80,75,100,60,70,88,90,49,50,70,70,54,60,45,60,99,100,85,100,97,100,11,8,12,11,9,0.99,0.85,0.97,0.8743243243243243,0.8789920634920636,0.8789920634920636,0.7391304347826086,0.754985994397759,0.754985994397759,0.8580926237161531,86.0,B
sgm04582,shawn.marshall@univ.edu,1,Shawn,Marshall,70.0,80,73,80,50,80,96,100,49,70,55,90,46,50,52,70,38,60,39,60,69,100,68,100,62,100,8,9,15,11,6,0.69,0.68,0.62,0.7675675675675676,0.7629801587301588,0.7675675675675676,0.7101449275362319,0.6990679908326967,0.7101449275362319,0.7155705052878967,72.0,C
jxm83777,jorge.miller@univ.edu,1,Jorge,Miller,69.0,80,56,80,59,80,88,100,50,70,67,90,47,50,64,70,58,60,57,60,74,100,73,100,81,100,10,10,6,14,11,0.74,0.73,0.81,0.831081081081081,0.8409682539682539,0.8409682539682539,0.7391304347826086,0.7690730837789661,0.7690730837789661,0.7986092267209914,80.0,B
kam90876,kimberly.moore@univ.edu,1,Kimberly,Moore,79.0,80,60,80,70,80,90,100,54,70,61,90,38,50,54,70,46,60,36,60,64,100,96,100,64,100,6,14,17,8,4,0.64,0.96,0.64,0.7945945945945946,0.7859801587301587,0.7945945945945946,0.7101449275362319,0.6767099567099566,0.7101449275362319,0.7548813160987075,76.0,C
dxn21936,donna.nguyen@univ.edu,1,Donna,Nguyen,52.0,80,78,80,59,80,76,100,55,70,58,90,32,50,65,70,48,60,46,60,70,100,87,100,64,100,7,12,14,9,4,0.7,0.87,0.64,0.768918918918919,0.7687896825396825,0.768918918918919,0.6666666666666666,0.6472167048637637,0.6666666666666666,0.7255675675675676,73.0,C
tmo55387,tiffany.ortega@univ.edu,1,Tiffany,Ortega,64.0,80,56,80,56,80,63,100,58,70,79,90,30,50,65,70,51,60,51,60,70,100,82,100,62,100,7,8,15,14,12,0.7,0.82,0.62,0.7743243243243243,0.7764920634920635,0.7764920634920635,0.8115942028985508,0.810409982174688,0.8115942028985508,0.7640750862663906,77.0,C
txp55047,timothy.parker@univ.edu,1,Timothy,Parker,50.0,80,76,80,65,80,72,100,68,70,65,90,42,50,50,70,43,60,59,60,73,100,93,100,66,100,9,14,13,14,10,0.73,0.93,0.66,0.7972972972972973,0.8055436507936508,0.8055436507936508,0.8695652173913043,0.8699108734402852,0.8699108734402852,0.8116907223495459,82.0,B
mjp68159,mark.patrick@univ.edu,1,Mark,Patrick,70.0,80,65,80,73,80,84,100,68,70,74,90,34,50,43,70,36,60,55,60,92,100,65,100,80,100,10,11,10,8,4,0.92,0.65,0.8,0.8135135135135135,0.8044603174603173,0.8135135135135135,0.6231884057971014,0.6270842882607588,0.6270842882607588,0.7445306918836331,75.0,C
dxp49123,douglas.payne@univ.edu,1,Douglas,Payne,48.0,80,55,80,49,80,62,100,46,70,90,90,35,50,62,70,51,60,51,60,74,100,71,100,96,100,8,7,7,12,5,0.74,0.71,0.96,0.7418918918918919,0.7462857142857142,0.7462857142857142,0.5652173913043478,0.575902724726254,0.575902724726254,0.7232851031321619,73.0,C
jmp63760,jonathan.pena@univ.edu,1,Jonathan,Pena,53.0,80,74,80,55,80,70,100,51,70,74,90,33,50,63,70,47,60,42,60,74,100,79,100,84,100,9,8,13,10,5,0.74,0.79,0.84,0.7594594594594595,0.7569126984126984,0.7594594594594595,0.6521739130434783,0.6494346829640947,0.6521739130434783,0.7414359576968272,75.0,C
ksp17362,kristin.petersen@univ.edu,1,Kristin,Petersen,49.0,80,77,80,75,80,90,100,54,70,90,90,45,50,47,70,46,60,40,60,97,100,68,100,97,100,8,8,7,5,5,0.97,0.68,0.97,0.8283783783783784,0.8188690476190477,0.8283783783783784,0.4782608695652174,0.4892360580595875,0.4892360580595875,0.7401221687692277,75.0,C
bdp78944,brooke.powers@univ.edu,1,Brooke,Powers,80.0,80,60,80,53,80,66,100,46,70,85,90,45,50,54,70,44,60,57,60,77,100,87,100,90,100,6,10,17,10,8,0.77,0.87,0.9,0.7972972972972973,0.8028849206349207,0.8028849206349207,0.7391304347826086,0.7186147186147186,0.7391304347826086,0.803393098688751,81.0,B
rkr43763,rhonda.rice@univ.edu,1,Rhonda,Rice,77.0,80,48,80,53,80,68,100,67,70,67,90,50,50,43,70,43,60,52,60,61,100,98,100,96,100,8,9,14,6,9,0.61,0.98,0.96,0.7675675675675676,0.780420634920635,0.780420634920635,0.6666666666666666,0.6658747135217722,0.6666666666666666,0.7846682539682539,79.0,C
bms82804,beth.sanders@univ.edu,1,Beth,Sanders,59.0,80,67,80,53,80,85,100,68,70,77,90,41,50,52,70,50,60,42,60,73,100,71,100,67,100,4,12,9,10,9,0.73,0.71,0.67,0.8027027027027027,0.8010674603174603,0.8027027027027027,0.6376811594202898,0.631466768525592,0.6376811594202898,0.7203854289071681,73.0,C
rxs30280,richard.saunders@univ.edu,1,Richard,Saunders,53.0,80,56,80,48,80,87,100,46,70,55,90,32,50,57,70,56,60,36,60,65,100,93,100,64,100,10,8,15,12,12,0.65,0.93,0.64,0.7108108108108108,0.7088373015873015,0.7108108108108108,0.8260869565217391,0.836384008148714,0.836384008148714,0.7567395267689385,76.0,C
bxs54690,billy.schwartz@univ.edu,1,Billy,Schwartz,56.0,80,52,80,56,80,89,100,46,70,66,90,33,50,51,70,48,60,52,60,89,100,62,100,93,100,11,12,11,10,9,0.89,0.62,0.93,0.7418918918918919,0.7385714285714287,0.7418918918918919,0.7681159420289855,0.7822689075630253,0.7822689075630253,0.7774374290256644,78.0,C
kxs29884,kerry.smith@univ.edu,1,Kerry,Smith,53.0,80,73,80,53,80,71,100,63,70,69,90,50,50,44,70,55,60,49,60,62,100,95,100,84,100,4,13,16,5,5,0.62,0.95,0.84,0.7837837837837838,0.797607142857143,0.797607142857143,0.6231884057971014,0.5890578049401579,0.6231884057971014,0.7579993788819877,76.0,C
mxs33416,matthew.smith@univ.edu,1,Matthew,Smith,75.0,80,53,80,57,80,69,100,53,70,78,90,50,50,51,70,47,60,42,60,66,100,63,100,93,100,8,14,7,7,8,0.66,0.63,0.93,0.777027027027027,0.7838214285714286,0.7838214285714286,0.6376811594202898,0.647807486631016,0.647807486631016,0.7433708174178761,75.0,C
txt65366,thomas.terry@univ.edu,1,Thomas,Terry,72.0,80,60,80,51,80,96,100,51,70,87,90,31,50,43,70,41,60,50,60,83,100,74,100,99,100,8,14,13,8,9,0.83,0.74,0.99,0.7864864864864864,0.7693690476190477,0.7864864864864864,0.7536231884057971,0.7493481028775146,0.7536231884057971,0.8046815511163338,81.0,B
sxt33634,sandra.thomas@univ.edu,1,Sandra,Thomas,65.0,80,66,80,67,80,68,100,69,70,65,90,39,50,64,70,41,60,38,60,88,100,62,100,96,100,9,10,14,8,4,0.88,0.62,0.96,0.7864864864864864,0.787388888888889,0.787388888888889,0.6521739130434783,0.6426279602750191,0.6521739130434783,0.7606077294685991,77.0,C
jxu45537,james.underwood@univ.edu,1,James,Underwood,65.0,80,74,80,73,80,81,100,66,70,79,90,40,50,45,70,51,60,39,60,77,100,76,100,84,100,5,13,8,9,9,0.77,0.76,0.84,0.8283783783783784,0.8223492063492064,0.8283783783783784,0.6376811594202898,0.6369314998726764,0.6376811594202898,0.7631556991774383,77.0,C
sxv18182,sara.vasquez@univ.edu,1,Sara,Vasquez,63.0,80,65,80,67,80,98,100,70,70,65,90,32,50,55,70,40,60,38,60,64,100,73,100,75,100,5,7,8,6,5,0.64,0.73,0.75,0.8013513513513514,0.7865436507936507,0.8013513513513514,0.4492753623188406,0.4474076903488668,0.4492753623188406,0.6728231492361927,68.0,D
jxw53347,joyce.walls@univ.edu,1,Joyce,Walls,59.0,80,77,80,61,80,84,100,44,70,64,90,40,50,45,70,40,60,42,60,69,100,73,100,91,100,10,6,9,7,12,0.69,0.73,0.91,0.7513513513513513,0.745170634920635,0.7513513513513513,0.6376811594202898,0.6677005347593583,0.6677005347593583,0.744850700968348,75.0,C
jxw98212,jill.walsh@univ.edu,1,Jill,Walsh,65.0,80,48,80,49,80,73,100,47,70,74,90,38,50,68,70,50,60,38,60,73,100,99,100,78,100,6,13,6,9,4,0.73,0.99,0.78,0.7432432432432432,0.7446746031746031,0.7446746031746031,0.5507246376811594,0.5482505729564553,0.5507246376811594,0.715587232574189,72.0,C
axw80146,angela.warren@univ.edu,1,Angela,Warren,54.0,80,62,80,59,80,77,100,59,70,85,90,44,50,55,70,58,60,48,60,70,100,84,100,78,100,8,14,10,5,10,0.7,0.84,0.78,0.8121621621621622,0.817718253968254,0.817718253968254,0.6811594202898551,0.6878635090399797,0.6878635090399797,0.7694463542992955,77.0,C
tsw14969,tamara.warren@univ.edu,1,Tamara,Warren,74.0,80,53,80,48,80,92,100,57,70,58,90,44,50,54,70,56,60,52,60,77,100,80,100,99,100,10,14,16,7,11,0.77,0.8,0.99,0.7945945945945946,0.8017658730158731,0.8017658730158731,0.8405797101449275,0.8400534759358289,0.8405797101449275,0.8398802622498276,84.0,B
txw75701,travis.washington@univ.edu,1,Travis,Washington,64.0,80,67,80,56,80,92,100,50,70,85,90,46,50,69,70,40,60,52,60,94,100,74,100,68,100,11,13,10,9,8,0.94,0.74,0.68,0.8391891891891892,0.8355277777777779,0.8391891891891892,0.7391304347826086,0.7528851540616246,0.7528851540616246,0.7845412218941631,79.0,C
sxw76890,samuel.weber@univ.edu,1,Samuel,Weber,71.0,80,78,80,74,80,86,100,69,70,81,90,31,50,48,70,55,60,44,60,79,100,96,100,86,100,6,12,14,5,6,0.79,0.96,0.86,0.8608108108108108,0.8488928571428571,0.8608108108108108,0.6231884057971014,0.6052253628724217,0.6231884057971014,0.7957808460634548,80.0,B
jty40106,joseph.young@univ.edu,1,Joseph,Young,51.0,80,69,80,60,80,68,100,67,70,63,90,49,50,42,70,55,60,49,60,72,100,68,100,96,100,8,14,12,11,10,0.72,0.68,0.96,0.7743243243243243,0.790047619047619,0.790047619047619,0.7971014492753623,0.7971072065189713,0.7971072065189713,0.8031512095747391,81.0,B
